Region,Market,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Montenegro,"Beauty, Health, Personal & Household Care",Average Revenue per User by Segment,Personal Care,USD (US$),Statista,113.8,109,108.8,113.5,123.4,115,136.9,149.1,164,165.5,169.3
Montenegro,"Beauty, Health, Personal & Household Care",Comparable Estimates - eCommerce (Worldwide),*Statista,trillion USD (US$),,2.249,2.429,2.642,3.282,3.86,3.609,4.505,5.037,5.675,6.021,6.429
Montenegro,"Beauty, Health, Personal & Household Care",Comparable Estimates - eCommerce (Worldwide),The BRC,trillion USD (US$),,,,,,2.634,3.048,,,,4.798,
Montenegro,"Beauty, Health, Personal & Household Care",Comparable Estimates - eCommerce (Worldwide),UNCTAD,trillion USD (US$),,,,4.87,,,,,,,,
Montenegro,"Beauty, Health, Personal & Household Care",Online & Offline Split,Offline,percent,Statista,93.873,93.056,92.058,89.56,87.993,86.531,84.675,82.487,79.98,,
Montenegro,"Beauty, Health, Personal & Household Care",Online & Offline Split,Online,percent,Statista,6.127,6.944,7.942,10.44,12.007,13.469,15.325,17.513,20.02,,
Montenegro,"Beauty, Health, Personal & Household Care",Mobile/Desktop Split,Desktop,percent,Statista,57.533,56.141,55.069,54.422,53.927,53.628,53.384,53.208,53.063,,
Montenegro,"Beauty, Health, Personal & Household Care",Mobile/Desktop Split,Mobile,percent,Statista,42.467,43.859,44.931,45.578,46.073,46.372,46.616,46.792,46.937,,
Montenegro,"Beauty, Health, Personal & Household Care",Users by Segment,Total,million users,Statista,0.056,0.068,0.08,0.094,0.106,0.121,0.133,0.142,0.151,0.163,0.174
Montenegro,"Beauty, Health, Personal & Household Care",Users by Segment,Beauty Care,million users,Statista,0.039,0.047,0.056,0.065,0.075,0.085,0.093,0.099,0.106,0.114,0.122
Montenegro,"Beauty, Health, Personal & Household Care",Users by Segment,Health Care,million users,Statista,0.036,0.043,0.051,0.06,0.068,0.077,0.085,0.091,0.097,0.104,0.111
Montenegro,"Beauty, Health, Personal & Household Care",Users by Segment,Household Care,million users,Statista,0.021,0.026,0.03,0.036,0.04,0.046,0.05,0.054,0.057,0.062,0.066
Montenegro,"Beauty, Health, Personal & Household Care",Users by Segment,Personal Care,million users,Statista,0.034,0.042,0.05,0.058,0.066,0.075,0.082,0.088,0.094,0.101,0.108
Montenegro,"Beauty, Health, Personal & Household Care",Penetration Rate by Segment,"Beauty, Health, Personal & Household Care",percent,Statista,8.853,10.773,12.745,14.895,16.952,19.247,21.138,22.621,24.091,25.993,27.778
Montenegro,"Beauty, Health, Personal & Household Care",Penetration Rate by Segment,Beauty Care,percent,Statista,6.197,7.541,8.922,10.427,11.867,13.473,14.796,15.835,16.864,18.194,19.443
Montenegro,"Beauty, Health, Personal & Household Care",Penetration Rate by Segment,Health Care,percent,Statista,5.666,6.895,8.157,9.533,10.85,12.318,13.528,14.477,15.418,16.634,17.776
Montenegro,"Beauty, Health, Personal & Household Care",Penetration Rate by Segment,Household Care,percent,Statista,3.364,4.094,4.843,5.66,6.442,7.314,8.032,8.596,9.155,9.876,10.554
Montenegro,"Beauty, Health, Personal & Household Care",Penetration Rate by Segment,Personal Care,percent,Statista,5.489,6.679,7.902,9.235,10.511,11.933,13.105,14.025,14.937,16.115,17.22
Montenegro,Personal Care,Revenue,Total,million USD (US$),Statista,3.921,4.57,5.399,6.581,8.144,8.615,11.27,13.12,15.36,16.71,18.26
Montenegro,Personal Care,Revenue,Body Care,million USD (US$),Statista,0.679,0.791,0.936,1.117,1.396,1.496,1.974,2.31,2.716,2.961,3.242
Montenegro,Personal Care,Revenue,Eye Care,million USD (US$),Statista,0.366,0.419,0.482,0.674,0.76,0.695,0.794,0.838,0.892,0.928,0.962
