Region,Market,Chart,Name,Unit,Source,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Morocco,Consumer Electronics,Revenue Change,Other Consumer Electronics,percent,Statista,,14.13,12.585,34.985,13.742,-7.989,49.444,22.896,22.916,8.621,10.012
Morocco,Consumer Electronics,Revenue Change,Telephony,percent,Statista,,11.947,12.605,37.537,15.03,-6.981,50.963,24.051,24.045,8.732,10.259
Morocco,Consumer Electronics,Revenue Change,"TV, Radio & Multimedia",percent,Statista,,11.664,12.465,33.819,14.833,-8.621,48.573,22.222,22.396,8.559,9.878
Morocco,Consumer Electronics,Revenue Change,TV Peripheral Devices,percent,Statista,,11.968,12.588,34.271,14.708,-29.532,4.572,-23.841,-42.48,-0.133,-12.658
Morocco,Consumer Electronics,Average Revenue per User,Total,USD (US$),Statista,67.35,68.83,69.99,85.41,90,77.77,110.6,130.9,155.1,162.7,173.8
Morocco,Consumer Electronics,Average Revenue per User,Computing,USD (US$),Statista,16.84,18.1,18.43,21.94,22.52,19.37,27.41,32.27,38.02,39.86,42.51
Morocco,Consumer Electronics,Average Revenue per User,Other Consumer Electronics,USD (US$),Statista,30.92,31.59,32.13,39.2,41.31,35.7,50.75,60.07,71.17,74.69,79.78
Morocco,Consumer Electronics,Average Revenue per User,Telephony,USD (US$),Statista,25.51,25.57,26.01,32.35,34.46,30.1,43.24,51.67,61.77,64.9,69.46
Morocco,Consumer Electronics,Average Revenue per User,"TV, Radio & Multimedia",USD (US$),Statista,24.9,24.9,25.29,30.6,32.54,27.93,39.47,46.49,54.84,57.5,61.34
Morocco,Consumer Electronics,Average Revenue per User,TV Peripheral Devices,USD (US$),Statista,1.535,1.539,1.565,1.9,2.018,1.336,1.329,0.975,0.54,0.521,0.442
Morocco,Consumer Electronics,Comparable Estimates - Consumer Electronics (Worldwide),*Statista,trillion USD (US$),,0.503,0.508,0.522,0.63,0.695,0.548,0.724,0.768,0.839,0.872,0.913
Morocco,Consumer Electronics,Comparable Estimates - Consumer Electronics (Worldwide),The BRC,trillion USD (US$),,,,,,0.473,0.539,,,,0.825,
Morocco,Consumer Electronics,Online & Offline Split,Offline,percent,Statista,88.996,88.331,87.148,83.643,82.122,77.57,73.376,67.914,61.784,,
Morocco,Consumer Electronics,Online & Offline Split,Online,percent,Statista,11.004,11.669,12.852,16.357,17.878,22.43,26.624,32.086,38.216,,
Morocco,Consumer Electronics,Mobile/Desktop Split,Desktop,percent,Statista,45.525,42.736,41.903,40.567,39.117,37.794,36.314,35.107,33.861,,
Morocco,Consumer Electronics,Mobile/Desktop Split,Mobile,percent,Statista,54.475,57.264,58.097,59.433,60.883,62.206,63.686,64.893,66.139,,
Morocco,Consumer Electronics,Users,Total,million users,Statista,5.207,5.814,6.438,7.122,7.69,8.188,8.607,8.935,9.27,9.595,9.883
Morocco,Consumer Electronics,Users,Computing,million users,Statista,3.645,4.07,4.507,4.985,5.383,5.732,6.025,6.254,6.489,6.716,6.918
Morocco,Consumer Electronics,Users,Other Consumer Electronics,million users,Statista,4.165,4.651,5.151,5.698,6.152,6.551,6.885,7.148,7.416,7.676,7.906
Morocco,Consumer Electronics,Users,Telephony,million users,Statista,4.165,4.651,5.151,5.698,6.152,6.551,6.885,7.148,7.416,7.676,7.906
Morocco,Consumer Electronics,Users,"TV, Radio & Multimedia",million users,Statista,2.083,2.326,2.575,2.849,3.076,3.275,3.443,3.574,3.708,3.838,3.953
Morocco,Consumer Electronics,Users,TV Peripheral Devices,million users,Statista,1.562,1.744,1.931,2.137,2.307,2.456,2.582,2.68,2.781,2.878,2.965
Morocco,Consumer Electronics,Penetration Rate,Computing,percent,Statista,10.243,11.297,12.357,13.507,14.414,15.174,15.774,16.2,16.635,17.045,17.387
Morocco,Consumer Electronics,Penetration Rate,Consumer Electronics,percent,Statista,14.633,16.138,17.653,19.295,20.591,21.678,22.534,23.143,23.764,24.349,24.838
Morocco,Consumer Electronics,Penetration Rate,Other Consumer Electronics,percent,Statista,11.706,12.91,14.122,15.436,16.473,17.342,18.027,18.515,19.012,19.479,19.87
Morocco,Consumer Electronics,Penetration Rate,Telephony,percent,Statista,11.706,12.91,14.122,15.436,16.473,17.342,18.027,18.515,19.012,19.479,19.87
Morocco,Consumer Electronics,Penetration Rate,"TV, Radio & Multimedia",percent,Statista,5.853,6.455,7.061,7.718,8.236,8.671,9.014,9.257,9.506,9.74,9.936
